,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month,random,income_per_region,population_per_region
59,0,f,1.0,10.99,0.0,1,gc,1,0,2017,9.5,10.0,152.34,a,185,14903,1022800
60,1,ps,0.0,10.99,0.0,0,gc,1,1,2017,0.25,13.0,152.34,a,897,17102,7675217
61,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,11.5,152.34,a,695,11589,8414240
62,1,gb,1.0,2.99,0.0,1,gc,1,0,2017,0.0,13.0,152.34,a,50,18707,6663394
63,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,20.5,152.34,a,726,13148,5003769
64,0,f,1.0,10.99,0.0,1,ye,1,1,2017,0.0,19.5,152.34,a,546,11589,8414240
65,0,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,21.0,152.34,a,957,11589,8414240
66,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.0,152.34,a,645,11818,1493898
67,0,gb,1.0,2.99,0.0,0,hc,1,1,2017,8.25,18.0,152.34,a,177,18707,6663394
68,0,a,1.0,10.99,0.0,1,gc,1,1,2017,13.25,13.0,152.34,a,210,11589,8414240
69,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,13.5,152.34,a,630,18707,6663394
70,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,27.0,152.34,a,826,11589,8414240
71,1,f,1.0,10.99,0.0,1,other,1,1,2017,0.0,15.5,152.34,a,471,17102,7675217
72,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,19.0,152.34,a,799,11589,8414240
73,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,10.0,152.34,a,942,11589,8414240
74,0,de,1.0,10.99,0.0,0,hc,1,1,2017,0.0,16.5,152.34,a,210,13148,5003769
75,1,a,1.0,10.99,0.0,1,other,1,1,2017,0.0,26.5,152.34,a,995,11589,8414240
76,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a,881,11589,8414240
77,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,17.0,152.34,a,984,12401,2032863
78,1,gb,1.0,2.99,0.0,1,gc,1,1,2017,0.0,15.5,152.34,a,203,17948,654214
79,0,e,1.0,20.99,0.0,0,he,0,1,2017,0.0,23.0,152.34,a,578,17102,7675217
80,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,16.5,152.34,a,430,18707,6663394
81,0,e,1.0,10.99,0.0,0,other,1,1,2017,0.0,14.0,152.34,a,723,13148,5003769
